qualifyId,raceId,circuitId,driverId,time,timing
316,33,16,10,00:01:17.945000,BEST
1853,209,25,35,00:01:24.473000,BEST
2474,252,27,14,00:01:20.537000,BEST
2498,253,20,14,00:01:18.738000,BEST
2620,258,28,102,00:01:10.218000,BEST
2908,270,26,30,00:01:22.762000,BEST
2960,272,29,95,00:01:16.179000,BEST
4241,98,19,22,00:01:10.223000,BEST
4261,99,8,4,00:01:13.698000,BEST
4281,100,9,8,00:01:18.233000,BEST
4704,848,12,20,00:01:36.975000,BEST
5772,896,68,20,00:01:24.119000,BEST
7420,983,2,1,00:01:30.076000,BEST
7740,999,10,20,00:01:11.212000,BEST
7820,1003,15,1,00:01:36.015000,BEST
7920,1008,18,1,00:01:07.281000,BEST
8058,1015,6,1,00:01:10.166000,BEST
8098,1017,34,1,00:01:28.319000,BEST
8278,1026,22,20,00:01:27.064000,BEST
8298,1027,32,830,00:01:14.758000,BEST
8378,1031,70,822,00:01:02.939000,BEST
8437,1033,11,1,00:01:13.447000,BEST
8518,1038,14,1,00:01:18.887000,BEST
8538,1039,76,1,00:01:15.144000,BEST
8558,1040,71,1,00:01:31.304000,BEST
8615,1042,75,1,00:01:16.652000,BEST
8635,1043,21,822,00:01:13.609000,BEST
9036,1067,5,1,00:01:22.868000,BEST
9116,1051,78,1,00:01:20.827000,BEST
9156,1073,24,830,00:01:22.109000,BEST
9693,1101,73,844,00:01:40.203000,BEST
9753,1105,4,830,00:01:12.272000,BEST
3710,353,35,20,00:01:35.585000,BEST
7580,991,17,20,00:01:31.095000,BEST
8078,1016,7,20,00:01:10.240000,BEST
8318,1028,69,822,00:01:32.029000,BEST
8498,1037,13,1,00:01:41.252000,BEST
8695,1046,3,822,00:00:53.377000,BEST
8974,1064,39,830,00:01:08.885000,BEST
9136,1072,77,1,00:01:27.511000,BEST
9673,1100,1,830,00:01:16.732000,BEST
9713,1102,79,815,00:01:26.841000,BEST
698,50,16,29,00:01:29.668000,WORST
852,57,20,36,00:01:46.505000,WORST
962,62,19,36,00:01:16.036000,WORST
1765,200,70,73,00:01:34.910000,WORST
2227,241,25,89,00:02:07.298000,WORST
2305,244,6,89,00:01:31.542000,WORST
2353,246,8,90,00:01:24.865000,WORST
2401,248,10,86,00:01:54.625000,WORST
2497,252,27,98,00:01:32.769000,WORST
2545,254,28,92,00:01:21.405000,WORST
2569,255,22,87,00:16:42.640000,WORST
2855,267,13,113,00:02:33.885000,WORST
2933,270,26,93,00:01:27.976000,WORST
2985,272,29,93,00:01:22.529000,WORST
3305,16,18,21,00:01:40.703000,WORST
3349,337,3,812,00:02:04.904000,WORST
4158,93,21,47,00:01:46.299000,WORST
4438,71,1,30,00:01:57.931000,WORST
4727,848,12,39,00:01:44.363000,WORST
4893,856,35,24,00:01:43.758000,WORST
4918,857,68,10,00:01:34.046000,WORST
5903,901,2,828,00:02:04.407000,WORST
6404,930,4,833,00:01:32.038000,WORST
6622,942,69,832,00:02:07.304000,WORST
6682,945,24,833,00:01:47.434000,WORST
6922,958,11,837,00:01:50.189000,WORST
7399,981,14,154,00:01:43.355000,WORST
8674,1044,5,849,00:02:21.611000,WORST
8794,1054,75,853,00:01:20.912000,WORST
9032,1066,71,853,00:01:53.764000,WORST
9135,1051,78,853,00:01:25.859000,WORST
9291,1078,79,849,00:01:31.325000,WORST
9372,1082,7,852,00:01:36.575000,WORST
9432,1085,34,849,00:01:33.794000,WORST
9492,1088,39,849,00:01:13.353000,WORST
9532,1091,15,849,00:01:57.532000,WORST
9672,1099,77,858,00:02:08.510000,WORST
8546,1039,76,832,00:01:17.870000,WORST
9085,1070,32,846,00:01:36.830000,WORST
9382,1083,9,849,00:02:03.095000,WORST
5493,882,17,18,00:02:05.673000,WORST
6845,955,73,1,00:02:01.954000,WORST
